number,date_or_origin,name,theorem,source_path,line,upstream_status,in_local_allowlist,summary,url,formalization_review,independent_status_review,admission_ready,audit_note,audit_date,disposition,external_sources,source_compile_pass,statement_has_sorry,statement_dependency_axioms,declaration_axioms,elaborated_type_pretty_sha256,requires_source_pin_fix
11,1849,Kummer–Vandiver conjecture,KummerVandiver.kummer_vandiver,FormalConjectures/Wikipedia/KummerVandiver.lean,39,research open,False,Does p never divide the class number of the maximal real subfield of the p-th cyclotomic field?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/KummerVandiver.lean#L39,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The 2026 partial-regularity result does not establish the full Kummer–Vandiver conjecture.,False,"For prime positive p, p does not divide the class number of the maximal real subfield of the p-th cyclotomic field. This is distinct from regularity of p itself.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2602.05090""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",193ebc1ec3168ffb9441315f835f119904e4b3cf47dce75eb88e5b427c0efd62,False
12,c. 1850 roots*,Infinitely many regular primes,RegularPrimes.regularprime_conjecture,FormalConjectures/Wikipedia/RegularPrimes.lean,79,research open,False,Are there infinitely many regular primes in Kummer's sense?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/RegularPrimes.lean#L79,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The 2026 density-one partial-regularity result controls only a restricted range of Bernoulli indices and does not prove infinitely many fully regular primes.,False,Main definition uses coprimality with cyclotomic class-group cardinality. Upstream issue 5711 corrected even Bernoulli indices in an auxiliary characterization; the selected main definition avoids that former indexing error.,2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2602.05090"", ""https://oeis.org/A000928/internal""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",7c6adcd3b9ba27a8970b596734bb96848d635f80c1041394f071d63390511892,False
13,1850,Pollock's tetrahedral-number conjecture,PollocksConjecture.pollock_tetrahedral,FormalConjectures/Wikipedia/PollocksConjecture.lean,59,research open,False,Is every nonnegative integer a sum of at most five tetrahedral numbers?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/PollocksConjecture.lean#L59,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The research paper on sums of two generalized tetrahedral numbers treats a different problem; allowing negative indices changes the set of summands.,False,"Five ordinary tetrahedral numbers with natural indices. Zero is allowed, making exactly five slots equivalent to at most five summands. Natural division by six is exact for n(n+1)(n+2).",2026-09-21,retain_provisionally_open,"[""https://vadim.sdsu.edu/lp2.pdf""]",True,False,"[""propext"", ""Quot.sound"", ""Classical.choice""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",61ec4af7e047e04a571776253b6c36761864ec83cc60aedc720981492ea263ca,False
14,1857,Bunyakovsky conjecture,Bunyakovsky.bunyakovsky_conjecture,FormalConjectures/Wikipedia/Bunyakovsky.lean,37,research open,False,Does every suitable irreducible integer polynomial take infinitely many prime values?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Bunyakovsky.lean#L37,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open; the 2025 research lectures formulate the polynomial-prime conjecture with its necessary conditions.,False,"Shared helpers require nonconstant irreducible integer polynomial, positive leading coefficient, and no fixed prime divisor. Using natAbs for prime values is harmless for infinitude because the polynomial is eventually positive.",2026-09-21,retain_provisionally_open,"[""https://stnb.cat/media/publicacions/publicacions/AFBoix_STNB2025_Lectures_on_schinzel_for_polynomials_summarybis.pdf""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",405a8db17efbc6f513acc1f7f7cdf6776481dc8a3fddb07c1bc7947db0363efd,False
15,1859,Riemann hypothesis,RiemannHypothesis.riemannHypothesis,FormalConjectures/Millennium/RiemannHypothesis.lean,61,research open,False,Do all nontrivial zeta zeros have real part 1/2?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Millennium/RiemannHypothesis.lean#L61,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The Clay Mathematics Institute's current page explicitly lists the Riemann hypothesis as unsolved.,False,Direct use of Mathlib's RiemannHypothesis. It is not the defective naive Dedekind-zeta-series extension discussed in upstream issue 3931. Preserve this exact target.,2026-09-21,retain_provisionally_open,"[""https://www.claymath.org/millennium/riemann-hypothesis/""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",7024d428ede1c873b201a0801e42593ab9afd4e632c16c492678886797602547,False
16,1865 constant*,Catalan's constant irrationality,Irrational.irrational_catalanConstant,FormalConjectures/Wikipedia/Irrational.lean,103,research open,False,Is Catalan's constant G irrational?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Irrational.lean#L103,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"HOLD: Zhi-Wei Sun's September 3, 2026 preprint claims a complete proof of irrationality. This audit did not establish acceptance or independently validate the full argument; public objections are not themselves a certified disproof.",False,"Direct Irrational predicate on Catalan's constant, so the new claim addresses the selected mathematical problem exactly. The formal statement itself showed no identified mismatch.",2026-09-21,hold_recent_claim,"[""https://arxiv.org/abs/2609.04176""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",46e35026e0554bbff3072d116d6fb385634d63b046898ec76597e677f0375b75,False
17,1876,Brocard–Ramanujan factorial problem,Erdos398.erdos_398,FormalConjectures/ErdosProblems/398.lean,39,research open,False,"Are n=4,5,7 the only solutions of n!+1=m²?",https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/ErdosProblems/398.lean#L39,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. The live Erdős Problems entry marks the exact factorial equation problem open; conditional finiteness is weaker than determining every solution.,False,"The formal proposition says that the n-values are exactly {4,5,7}. Its prose asks whether there are other solutions, reversing the yes/no polarity. Fix the displayed question: True for this formal target means there are NO other solutions.",2026-09-21,retain_provisionally_open,"[""https://www.erdosproblems.com/398""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",625f63e369e6c4697c228934754212c72817c9ab105c8e274e5b95c005559721,False
18,1876 sequence*,Catalan–Mersenne primality question,Mersenne.catalans_mersenne_conjecture,FormalConjectures/Wikipedia/Mersenne.lean,145,research open,False,"Starting at 2 and iterating x↦2^x−1, are all subsequent terms prime?",https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Mersenne.lean#L145,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as unresolved with historical-attribution caution. The sequence reference does not determine primality of every iterate; Catalan's original bounded wording is not the modern all-terms statement.,False,Starts at two and iterates x↦2^x−1; selected target requires all terms prime. Do not call the exact all-terms proposition a verbatim 1876 formulation or confuse it with ordinary Mersenne-prime infinitude.,2026-09-21,retain_provisionally_open,"[""https://oeis.org/A007013""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",7a98af0b3698553b18b97671059691324a76ae10b958d03e766375afb58c1a85,False
19,1882,Oppermann conjecture,Oppermann.oppermann_conjecture,FormalConjectures/Wikipedia/Oppermann.lean,57,research open,False,"Is there a prime in each of (n(n−1),n²) and (n²,n(n+1)) for n≥2?",https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Oppermann.lean#L57,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as provisionally open. Strong-Andrica implications and finite verification do not settle the universal statement. The Ferreira preprint behind neighboring eventual variants requires separate claim review.,False,"Requires a prime in each of the two strict intervals around n², with n≥2. The n=1 failure is correctly excluded. An eventual variant is not the selected full statement.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/1812.02762"", ""https://arxiv.org/abs/2307.08725""]",True,False,"[""propext"", ""Quot.sound"", ""Classical.choice""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",baf8b4f544f5f2fc62d24ee3bbda21c6aca04a0d15041a811986f695a8cd77b0,False
20,19th century; Hilbert 1892,Inverse Galois problem,InverseGalois.inverse_galois_problem,FormalConjectures/Wikipedia/InverseGalois.lean,53,research open,False,Does every finite group occur as a Galois group over the rationals?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/InverseGalois.lean#L53,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. Recent solvable-group/Grunwald progress does not realize every finite group over the rationals.,False,"GaloisRealization omits an explicit FiniteDimensional field, but it follows from IsGalois and finiteness of the automorphism group. This implication was kernel-checked in evidence/Bridges.lean with only standard axioms; this omission is not a loophole.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2302.13719"", ""https://arxiv.org/abs/2604.18099""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",171b4b9d43090a1691e8cb41611b9ea3744ebfdc359fbc7ad14c0fd0a50a46e6,False
21,1893 / 1933,Hadamard matrix existence,Hadamard.HadamardConjecture,FormalConjectures/Wikipedia/Hadamard.lean,90,research open,False,Does a Hadamard matrix exist in every order divisible by 4?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Hadamard.lean#L90,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"Retain as open in the sources examined. New matrix orders, including any reported construction at a previously missing order, do not establish existence at every multiple of four.",False,The determinant-extremal ±1-matrix formulation is equivalent to orthogonal Hadamard rows. The order-zero case is the legitimate empty matrix. Do not conflate a solved finite order with the universal conjecture.,2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2605.16722""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",da7c7bc9ce250caaadadf060da63648fcc3e3226167d34b2464602b462b1a1a7,False
22,c. 1895,Lemoine conjecture,Lemoine.lemoine_conjecture,FormalConjectures/Wikipedia/Lemoine.lean,39,research open,False,"Is every odd integer at least 7 equal to p+2q for primes p,q?",https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Lemoine.lean#L39,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as provisionally open. Computational verification is finite; located asymptotic claims do not by themselves certify the universal statement.,False,Odd n>6 must equal p+2q with both p and q prime. Repeated primes are permitted. Correct ordinary Lemoine formulation.,2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/2304.00024"", ""https://arxiv.org/abs/1709.05335"", ""https://arxiv.org/abs/2012.01329""]",True,False,"[""propext""]","[""propext"", ""sorryAx""]",f0a370194368308ca651e367c573ecb477efc19a97f07a009462a463f6542ad1,False
23,1900 / 1917 roots*,No-three-in-line problem,Green72.green_72,FormalConjectures/GreensOpenProblems/72.lean,103,research open,False,"For all sufficiently large N, is it impossible to place 2N grid points with no three collinear?",https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/GreensOpenProblems/72.lean#L103,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"Retain as open. The 2026 no-(k+1)-in-line result addresses k≥3, excluding this no-three-in-line case; newer heuristic corrections are not a resolution.",False,"Green 72 asks eventual NONattainment of 2N points, not existence of 2N for every N. The finite grid bounds the supremum. Neighboring eventual-attainment conjectures are not the logical negation. Its 1900/1917 dates belong to the source puzzle.",2026-09-21,retain_provisionally_open,"[""https://people.maths.ox.ac.uk/greenbj/papers/open-problems.pdf"", ""https://arxiv.org/abs/2607.05255"", ""https://arxiv.org/abs/2603.00215""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",e6b04eee284c3216131d5ba288db950f6771661c14169e5d982fe2f38f1e57cb,False
24,1904,Dickson conjecture,Dickson.dickson_conjecture,FormalConjectures/Wikipedia/Dickson.lean,43,research open,False,Do admissible families of linear forms simultaneously take prime values infinitely often?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/Dickson.lean#L43,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open; current research exposition treats simultaneous prime values of admissible linear forms as conjectural.,False,"Degree-one, positive-leading-coefficient forms and the shared admissibility predicate match Dickson. Upstream issue 4997 concerns a neighboring Polignac variant, not this selected target.",2026-09-21,retain_provisionally_open,"[""https://stnb.cat/media/publicacions/publicacions/AFBoix_STNB2025_Lectures_on_schinzel_for_polynomials_summarybis.pdf""]",True,False,"[""propext"", ""Quot.sound"", ""Classical.choice""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",85bb5f6cf6b2866d5d92d2df032efcf05f0f07d868aa84a5428b270fae394fe5,False
25,1904,Brocard's prime-square conjecture,Brocard.brocard_conjecture,FormalConjectures/Wikipedia/BrocardConjecture.lean,40,research open,False,Are at least four primes between squares of consecutive primes starting with 3 and 5?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/BrocardConjecture.lean#L40,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as provisionally open. Conditional implications and finite verification do not settle every consecutive-prime pair; eventual short-interval claims require separate checking.,False,"At least four primes between consecutive prime squares. Nat.nth uses zero-based indexing, so n≥1 correctly starts at primes 3 and 5 rather than the exceptional pair 2 and 3.",2026-09-21,retain_provisionally_open,"[""https://arxiv.org/abs/1812.02762"", ""https://arxiv.org/abs/2307.08725""]",True,False,"[""propext"", ""Quot.sound"", ""Classical.choice""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",dcc7fc3cac806ed512680696935cb1fc9acee63ce6650b8cac1122366ad1cf8d,False
26,1907 / 1922,Carmichael totient conjecture,CarmichaelTotient.charmichaelTotient,FormalConjectures/Wikipedia/CarmichaelTotient.lean,59,research open,False,Does every positive integer have a different integer with the same totient?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/CarmichaelTotient.lean#L59,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,"Retain as open in the sources examined. Evidence here is older research literature; no accepted resolution was located, which is weaker than a fresh authoritative status confirmation.",False,"Every positive n has a different natural m with the same totient. Since totient(n)>0 for n>0, allowing m=0 does not create a spurious witness. Preserve the actual source identifier charmichaelTotient.",2026-09-21,retain_provisionally_open,"[""https://math.dartmouth.edu/~carlp/PDF/carmichaelconjecture.pdf""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",ce0b6cb4bab0f65c2fa5e6fac111bc88c2d023a976728ecdf33236ba9de4dae3,False
27,1909 concept*,Normality of π in base 10,NormalNumber.pi_normal_base_ten,FormalConjectures/Wikipedia/NormalityOfPi.lean,43,research open,False,Does every k-digit block occur in π with limiting frequency 10^(−k)?,https://github.com/google-deepmind/formal-conjectures/blob/2f82a24192f64ac678557247e496b2381d3889a1/FormalConjectures/Wikipedia/NormalityOfPi.lean#L43,audited upstream: compile pass; statement axiom closure clean; semantic review with noted limits,Retain as open. Empirical digit-frequency tests do not establish limiting frequencies for every block length.,False,"NEW snapshot checks all finite digit blocks with limiting frequency 10^(-k). The verifier's pinned helper only checks individual digits (simple normality): a confirmed weaker formulation. Import the corrected helper, not only the unchanged-looking theorem name. Upstream issue 5710.",2026-09-21,retain_provisionally_open,"[""https://www.davidhbailey.com/dhbpapers/normality-digits-pi.pdf"", ""https://webusers.imj-prg.fr/~michel.waldschmidt/articles/pdf/AWSLecture5.pdf""]",True,False,"[""propext"", ""Classical.choice"", ""Quot.sound""]","[""propext"", ""sorryAx"", ""Classical.choice"", ""Quot.sound""]",3a5f3ecae95dad9555c249cd8724523d67aca60cb32ff6881d83c2da07a1c781,True
